1;Terminal De Ómnibus De Rawson;-43.303974712781226;-65.09738209610973; 
2;Alejandro Conesa, 597;-43.30411699677509;-65.09862409564172;
3;Bernardo Vachina, 420;-43.303740292629534;-65.10054132511618; 
4;Gregorio Mayo, 397;-43.30202606329285;-65.09922731815755;
5;Gregorio Mayo, 208;-43.3003900545759;-65.10105229672207;
6;Gregorio Mayo, 19;-43.299020271450765;-65.10341452399908;
7;Mariano Moreno, 280;-43.2997961924124;-65.10459917012061;
8;Luis Costa, 83;-43.301776391603624;-65.10589321286304; 
9;Avenida Sarmiento, 796;-43.30274205651824;-65.10422308703593;
10;Avenida Sarmiento, 608;-43.301371366643174;-65.10245109609176;
11;Avenida Sarmiento, 456;-43.3000282854256;-65.100601728443;
12;Lewis Jones, 312;-43.29956272763203;-65.09704827024444; 
13;Antonio Oneto, 333;-43.2982914796882;-65.09516948428622;
14;Pueyrredón, 211;-43.29838198041748;-65.09363178915459;
15;Martín Miguel De Güemes, 140;-43.29658715213353;-65.09107228171077;
16;Teniente Coronel Palacios, 132;-43.29781034372605;-65.08917109881253;
17;Carlos Gardel, 42;-43.29967843364352;-65.08980394773809;
18;Lucio Mansilla, 10;-43.30140194442982;-65.08992148017857;
19;Dolores Prats De Huys, 72;-43.302844458046444;-65.08860614173359;
20;Avenida Chacho Peñaloza, 1087;-43.301092041606;-65.08229698507286;
21;Pedro José De Agrelo, 23;-43.300826853053316;-65.07541718646307;
22;Los Calafates, 431;-43.3059274092544;-65.05739087724754;
23;Los Calafates, 211;-43.30695265213163;-65.05517291251996;
24;María Eva Duarte, 99;-43.30792654217213;-65.05309905891232;
25;Avenida Juan Manuel De Rosas, 784;-43.309497080060716;-65.04937310630076;
26;Avenida Juan Manuel De Rosas, 637;-43.30949130822349;-65.04703703311417;
27;Avenida Juan Manuel De Rosas, 469;-43.31070440772074;-65.04335074937629;
28;Cacique Nahuelquir, 224;-43.3123023075922;-65.04204477317045;
29;José Hernández, 489;-43.31353641025219;-65.0426287959145;
30;José Hernández, 695;-43.31565670343242;-65.04466181856316;
31;Centenario, 895;-43.31786178102367;-65.04529195814399;
32;Avenida Guillermo Rawson, 1153;-43.32126585980433;-65.04652912828362;
33;Coronel Barros, 34;-43.325982229314604;-65.05059185787242;
34;Avenida Costamagna, 61;-43.32792437401252;-65.05160660436788;
35;Fortín Viejo, 38;-43.33167181240256;-65.05293996730165;
36;Gobernador Lezana, 2044;-43.33297045239381;-65.05376160688206;
37;Gobernador Lezana, 2253;-43.336107914227355;-65.05529460671377;
38;María Luduvinia Andion, 2539;-43.33876840389935;-65.05774433800134;
39;Marcelino González, 2583;-43.34013117834294;-65.05699753380947;
40;Avenida Guillermo Rawson, 2385;-43.338069809279176;-65.05462433461597;
41;Lisandro De La Torre, 50;-43.33393318276013;-65.05388592034936;
42;Avenida Guillermo Rawson, 1868;-43.33092297827959;-65.05180368491311;
43;Gobernador Lezana, 1746;-43.328816858237644;-65.05228928176248;
44;Avenida Guillermo Rawson, 1248;-43.32195115012158;-65.047237628249;
45;Avenida Guillermo Rawson, 891;-43.31799578445087;-65.04467016801736;
46;José Hernández, 720;-43.316287740161115;-65.04450727258642;
47;José Hernández, 524;-43.31415704358378;-65.0426580512752;
48;Avenida Juan Manuel De Rosas, 188;-43.31150431896072;-65.04069697787205;
49;Sargento Cabral, 264;-43.30946863177394;-65.04608621177451;
50;Los Alerces, 341;-43.30776154988487;-65.05319553971223;
51;Los Alerces, 246;-43.3067209126115;-65.05223360530131;
52;Los Alerces, 164;-43.3059195990286;-65.05178809203865;
53;Los Sauces, 176;-43.30489395208405;-65.0525578625443;
54;Los Sauces, 376;-43.30418582703303;-65.0553588745225;
55;Las Muticias, 440;-43.3050537958892;-65.05693104981277;
56;Pedro José De Agrelo, 50;-43.30077990774618;-65.07509327138183;
57;Avenida Chacho Peñaloza, 1063;-43.300947278921406;-65.08239231546813;
58;Ricardo Balbín, 913;-43.29881544889887;-65.08297444753198;
59;Avenida Chacho Peñaloza, 321;-43.297529135424476;-65.08564272121457;
60;Roberto Payró, 289;-43.29610119899742;-65.0885599569409;
61;Avenida Chacho Peñaloza, 305;-43.2946110697216;-65.09020586666983;
62;Ricardo Güiraldes, 168;-43.2950383296185;-65.09313703066489;
63;Carlos Gardel, 27;-43.296301013071684;-65.09440206738414;
64;Avenida San Martín, 133;-43.298436694527105;-65.09654462982913;
65;Avenida San Martín, 377;-43.30012755098014;-65.09875215613589;
66;Burmeister, 403;-43.30172385477773;-65.09765800570699;
67;Avenida Antártida Argentina, 451;-43.30355312187845;-65.09609738840275;
68;Gaucho Rivero, 1031;-43.30050611348228;-65.08136670648368;
69;Avenida Juan Vucetich, 884;-43.301924314478526;-65.08798263290821;
70;Caballito Criollo, 1046;-43.29248101170571;-65.12087087267925;
71;Caballito Criollo, 896;-43.29106927729378;-65.11912016962218;
72;Caballito Criollo, 716;-43.29022821961544;-65.11805942439678;
73;Caballito Criollo, 548;-43.28938891104071;-65.11680068604598;
74;Caballito Criollo, 464;-43.28890636445427;-65.11618437368762;
75;Avenida 9 De Julio, 920;-43.291021185423965;-65.11248831938411;
76;Salta, 658b;-43.293027030154356;-65.11466400109575;
77;Roberto Jones, 760;-43.293704422588384;-65.11289309667936;
78;Roberto Jones, 612;-43.2949726157697;-65.11116973161428;
79;Roberto Jones, 436;-43.29642813578198;-65.1090797012072;
80;Roberto Jones, 240;-43.29776030723723;-65.10732643231468;
81;Alejandro Conesa, 335;-43.30241852183457;-65.10081410132747;
82;Avenida San Martín, 408;-43.300818626786636;-65.0989087320998;
83;Avenida Sarmiento, 250;-43.298382467897234;-65.09822403018619;
84;Avenida Sarmiento, 56;-43.29721244247568;-65.09660558834604;
85;Carlos Gardel, E3;-43.296180138452435;-65.09462329955389;
86;Gobernador Benito Fernández, 165;-43.2945007115917;-65.09402011675571;
87;Gobernador Benito Fernández, 228;-43.29338088733856;-65.09325118420345;
88;Gobernador Benito Fernández, 320;-43.29246334019818;-65.09201589691595;
89;Alfredo Palacios, 209;-43.29187938422346;-65.0903855852946;
90;Gobernador Benito Fernández, 515;-43.29107488303631;-65.08942197451968;
91;Gobernador Benito Fernández, 635;-43.290020830525684;-65.08796928187147;
92;Gobernador Benito Fernández, 735;-43.28904047111717;-65.08685776286607;
93;Dandolo Colangelo, 132;-43.288381392668306;-65.08520961392324;
94;Avenida Teniente Coronel Murga, 915;-43.28879047092811;-65.08241195631183;
95;Raúl Lamadrid, 111;-43.28997034294916;-65.08166924543721;
96;Dandolo Colangelo, 135;-43.29065899484878;-65.0821052630654;
97;Roberto Payró, 505;-43.29198282742943;-65.08293553435136;
98;Roberto Payró, 595;-43.2934695178109;-65.08488064774575;
99;Alfredo Palacios, 469;-43.294295693699404;-65.08702963316591;
100;Ricardo Balbín, 488;-43.294848823194044;-65.0879606044018;
101;Juan Domingo Perón, 626;-43.297176622976586;-65.08745176513672;
102;Avenida Chacho Peñaloza, 290;-43.29811709256675;-65.08548630215498;
103;Ricardo Balbín, 953;-43.29903144966769;-65.0827985324109;
104;Gregorio Mayo, 531;-43.303215524421375;-65.09770438244809;
105;Gregorio Mayo, 396;-43.30189308308596;-65.0989643059307;
106;Avenida San Martín, 593;-43.30183313662687;-65.10110420019319;
107;Avenida San Martín, 830;-43.303977328996176;-65.10344588180361;
108;Avenida Libertad, 235;-43.30824970620094-65.1046942281209;
109;Avenida Libertad, 317;-43.30812362729862;-65.1094899060722;
110;Pichincha, 72;-43.30781382950415;-65.11117896938971;
111;Constitución, 376;-43.31005308365893;-65.10988363901555;
112;Constitución, 89;-43.30905952041743;-65.10846939213684;
113;Lidia Pecopska, 338;-43.309617274057004;-65.10838306584266;
114;O Donnell, 289;-43.31042773145945;-65.10650985468405;
115;Capdevilla, 27;-43.31136266652572;-65.10524090660606;
116;Capdevilla, 252;-43.311204960437806;-65.10461888700593;
117;Calle Pecopska Y Calle Jofré;-43.31429918411112;-65.10169752922049;
118;Calle Namuncurá Y Calle Jofré;-43.31333604290434;-65.10037374738383;
119;José María Macias, 160;-43.31169773438681;-65.1016773670861;
120;Capdevilla, 184;-43.310555053761476;-65.10375234025601;
121;Cacique Sayhueque, 125;-43.30978902524765;-65.10486997092048;
122;Musacchio, 200;-43.30932006378943;-65.10699832551313;
123;Cacique Epumer, 81;-43.30876451365993;-65.10749555288952;
124;Doctor Lorenzo, 135;-43.30895650427353;-65.10551453290627;
125;Florentino Ameghino, 387;-43.29433948181828;-65.08822101064345;
126;Elder Vaughan, 405;-43.29353158254715;-65.08682688403708;
127;Ernesto Laporte, 434;-43.2924225506282;-65.08516486823046;
128;Florentino Ameghino, 781;-43.29089700944234;-65.08349116521191;
129;Dandolo Colangelo, 153;-43.28971497155029;-65.0833219804093;
130;Dandolo Colangelo, 269;-43.28903397928073;-65.08429639746645;
131;Gobernador Benito Fernández, 756;-43.29299801769824;-65.09271228223504;
132;Gobernador Benito Fernández, 694;-43.28931837189434;-65.08759045978222;
133;Gobernador Benito Fernández, 565;-43.29064319234467;-65.08872589057533;
134;Gobernador Benito Fernández, 455;-43.29159249059332;-65.09015430927447;
135;Gobernador Benito Fernández, 370;-43.29210411209891;-65.09152957736175;
136;Gobernador Benito Fernández, 285;-43.29326914634078;-65.09253027910208;
137;Gobernador Benito Fernández, 11;-43.29596778597221;-65.09609511940133;
138;Avenida Sarmiento, 48;-43.29696255424644;-65.0964047640436;
139;John Parry Madryn, 194;-43.2976904359889;-65.09818390242059;
140;Lewis Jones, 147;-43.29812539130532;-65.0995921837903;
141;Bartolomé Mitre, 671;-43.29812563952189;-65.09959197005433;
142;Alejandro Maiz, 391;-43.29727324012651;-65.10948239282938;
143;Uriburu, 669;-43.295271541635444;-65.11126079615318;
144;Magallanes, 680;-43.29431620719956;-65.1132353979846;
145;Salta, 427;-43.290980052814156;-65.11253722965715;
146;Gobernador Manuel Costa, 1179;-43.28866839036593;-65.11442358380657;
147;Caballito Criollo, 496;-43.289065125821395;-65.11637648825234;
148;Caballito Criollo, 680;-43.29009410501952;-65.11764893614732;
149;Caballito Criollo, 961;-43.291933617467954;-65.11983779406154;


