1;2;30;1;
2;3;180;1;
3;4;240;1;
4;5;240;1;
5;6;180;1;
6;7;120;1;
7;8;240;1;
8;9;120;1;
9;10;180;1;
10;11;180;1;
11;12;360;1;
12;13;240;1;
13;14;120;1;
14;15;240;1;
15;16;540;1;
16;17;600;1;
17;18;240;1;
18;19;480;1;
19;20;600;1;
20;21;540;1;
21;22;1380;1;
22;23;180;1;
23;24;240;1;
24;25;600;1;
25;26;180;1;
26;27;300;1;
27;28;240;1;
28;29;120;1;
29;30;240;1;
30;31;300;1;
31;32;360;1;
33;34;300;1;
34;35;360;1;
35;36;180;1;
36;37;300;1;
37;38;300;1;
38;39;180;2;
39;40;240;1;
40;41;420;1;
41;42;360;1;
42;43;180;1;
43;44;720;1;
44;45;360;1;
45;46;300;1;
46;47;240;1;
47;48;300;1;
48;49;480;1;
49;50;540;1;
50;51;120;2;
51;52;60;2;
52;53;120;1;
53;54;180;1;
54;55;180;1;
55;22;180;1;
22;56;1380;1;
56;57;540;1;
57;58;240;1;
58;59;240;1;
59;60;300;1;
60;61;180;1;
61;62;300;1;
62;63;240;1;
63;64;300;1;
64;65;240;1;
65;66;240;1;
66;67;300;1;
67;1;120;2;
1;7;720;1;
7;8;240;1;
8;9;120;1;
9;10;180;1;
10;11;180;1;
11;66;360;1;
66;67;300;1;
67;19;600;1;
19;20;540;1;
20;21;540;1;
21;22;1380;1;
22;23;180;2;
23;24;180;2;
24;25;600;1;
25;26;180;1;
26;27;300;1;
28;29;120;2;
29;30;240;1;
30;31;300;1;
31;32;360;1;
32;44;60;2;
44;45;420;1;
45;46;300;1;
46;47;240;1;
47;48;300;1;
48;27;180;1;
27;49;240;1;
49;25;300;1;
25;50;540;1;
50;23;180;1;
23;22;180;2;
22;56;1380;1;
56;68;480;1;
68;69;540;1;
69;1;720;1;
1;2;60;2;
2;3;180;2;
3;4;240;2;
4;5;240;2;
5;6;180;2;
6;7;120;2;
7;70;1860;1;
70;71;180;2;
71;72;120;2;
72;73;120;2;
73;74;60;2;
74;75;360;1;
75;76;240;1;
76;77;180;2;
77;78;180;2;
78;79;180;1;
79;80;180;2;
80;7;300;1;
7;8;240;2;
8;9;120;2;
9;81;360;2;
81;82;180;2;
82;12;180;2;
12;83;180;2;
83;84;180;2;
84;85;180;1;
85;86;240;2;
86;87;120;2;
87;88;120;2;
88;89;120;2;
89;90;120;2;
91;92;120;2;
92;93;180;2;
93;94;240;2;
